Total Temporary Assistance Cases,Total Temporary Assistance Recipients,Total Temporary Assistance Children,Total Temporary Assistance Adults,Total Temporary Assistance Expenditures,Family Assistance Federally Participating Cases,Family Assistance Federally Participating Recipients,Family Assistance Federally Participating Children,Family Assistance Federally Participating Adults,Family Assistance Federally Participating Expenditures, Safety Net Assistance Cases,Safety Net Assistance Recipients,Safety Net Assistance Children,Safety Net Assistance Adults,Safety Net Assistance Expenditures,Federally Participating Temporary Assistance for Needy Families Cases,Federally Participating Temporary Assistance for Needy Families Recipients,Federally Participating Temporary Assistance for Needy Families Expenditures,Federally Non-Participating Cases,Federally Non-Participating Recipients,Federally Non-Participating Expenditures,Safety Net Assistance Federally Participating Cases,Safety Net Assistance Federally Participating Recipients,Safety Net Assistance Federally Participating Children,Safety Net Assistance Federally Participating Adults,Safety Net Assistance Federally Participating Expenditures,Safety Net Federally Non-Participating Cases,Safety Net Federally Non-Participating Recipients,Safety Net Federally Non-Participating Children,Safety Net Federally Non-Participating Adults,Safety Net Federally Non-Participating Expenditures,Maintenance of Effort Cases,Maintenance of Effort Recipients,Maintenance of Effort Children,Maintenance of Effort Adults,Maintenance of Effort Expenditures,Non-Maintenance of Effort Cases,Non-Maintenance of Effort Recipients,Non-Maintenance of Effort Children,Non-Maintenance of Effort Adults,Non-Maintenance of Effort Expenditures
2122,4189,2536,1653,1504554.0,1014,2263,1753,510,686919,1108,1926,783,1143,817635,1042,2333,701794,1080,1856,802760,28,70,39,31,14875,1080,1856,744,1112,802760,177,621,446,175,164959,903,1235,298,937,637801
395,663,343,320,198016.0,177,347,260,87,85762,218,316,83,233,112254,177,347,85762,218,316,112254,0,0,0,0,0,218,316,83,233,112254,23,80,51,29,15474,195,236,32,204,96780
3254,5741,3137,2604,1714363.0,1320,2758,2121,637,759273,1934,2983,1016,1967,955090,1360,2868,774510,1894,2873,939853,40,110,63,47,15237,1894,2873,953,1920,939853,272,987,689,298,168792,1622,1886,264,1622,771061
780,1241,655,586,412528.0,313,623,509,114,177216,467,618,146,472,235312,343,704,195301,437,537,217227,30,81,43,38,18085,437,537,103,434,217227,25,80,52,28,15635,412,457,51,406,201592
700,1187,631,556,463069.0,289,632,486,146,191577,411,555,145,410,271492,301,658,202358,399,529,260711,12,26,13,13,10781,399,529,132,397,260711,33,116,79,37,21852,366,413,53,360,238859
1995,3892,2253,1639,1052915.0,861,1989,1533,456,482240,1134,1903,720,1183,570675,875,2028,493112,1120,1864,559803,14,39,23,16,10872,1120,1864,697,1167,559803,223,764,529,235,145621,897,1100,168,932,414182
690,1150,780,370,389663.0,373,719,636,83,204215,317,431,144,287,185448,383,745,211197,307,405,178466,10,26,15,11,6982,307,405,129,276,178466,22,84,57,27,14074,285,321,72,249,164392
322,518,316,202,155693.0,176,336,275,61,86143,146,182,41,141,69550,179,344,87113,143,174,68580,3,8,5,3,970,143,174,36,138,68580,4,15,11,4,2395,139,159,25,134,66185
729,1126,673,453,393578.0,359,663,571,92,191409,370,463,102,361,202169,366,681,195055,363,445,198523,7,18,9,9,3646,363,445,93,352,198523,23,67,42,25,15111,340,378,51,327,183412
413,742,426,316,323560.0,182,402,317,85,141380,231,340,109,231,182180,194,435,149417,219,307,174143,12,33,18,15,8037,219,307,91,216,174143,24,86,62,24,19597,195,221,29,192,154546
